"","CodedMonth","Count","Crime","Description","District","Category"
"454","2017-01",1,10000,"HOMICIDE",4,"Homicide"
"913","2017-01",1,10000,"HOMICIDE",4,"Homicide"
"1220","2017-01",1,10000,"HOMICIDE",6,"Homicide"
"1461","2017-01",1,10000,"HOMICIDE",4,"Homicide"
"1903","2017-01",1,10000,"HOMICIDE",6,"Homicide"
"2069","2017-01",1,10000,"HOMICIDE",5,"Homicide"
"2090","2017-01",1,10000,"HOMICIDE",6,"Homicide"
"2132","2017-01",1,10000,"HOMICIDE",3,"Homicide"
"2441","2017-01",1,10000,"HOMICIDE",5,"Homicide"
"2458","2017-01",1,10000,"HOMICIDE",6,"Homicide"
"2705","2017-01",1,10000,"HOMICIDE",4,"Homicide"
"2729","2017-01",1,10000,"HOMICIDE",6,"Homicide"
"3008","2017-01",1,10000,"HOMICIDE",6,"Homicide"
"3214","2017-01",1,10000,"HOMICIDE",4,"Homicide"
"3227","2017-01",1,10000,"HOMICIDE",3,"Homicide"
"3979","2017-02",1,10000,"HOMICIDE",5,"Homicide"
"4525","2017-02",1,10000,"HOMICIDE",5,"Homicide"
"4804","2017-02",1,10000,"HOMICIDE",5,"Homicide"
"4904","2017-02",1,10000,"HOMICIDE",6,"Homicide"
"5090","2017-02",1,10000,"HOMICIDE",4,"Homicide"
"5091","2017-02",-1,10000,"HOMICIDE",4,"Homicide"
"5125","2017-02",1,10000,"HOMICIDE",5,"Homicide"
"5137","2017-02",1,10000,"HOMICIDE",6,"Homicide"
"5220","2017-02",1,10000,"HOMICIDE",5,"Homicide"
"5249","2017-02",1,10000,"HOMICIDE",2,"Homicide"
"5251","2017-02",1,10000,"HOMICIDE",6,"Homicide"
"5572","2017-02",1,10000,"HOMICIDE",5,"Homicide"
"6134","2017-02",1,10000,"HOMICIDE",6,"Homicide"
"6419","2017-02",1,10000,"HOMICIDE",5,"Homicide"
"6971","2017-02",1,10000,"HOMICIDE",6,"Homicide"
"7257","2017-02",1,10000,"HOMICIDE",1,"Homicide"
"8179","2017-03",1,10000,"HOMICIDE",6,"Homicide"
"8331","2017-03",1,10000,"HOMICIDE",6,"Homicide"
"8683","2017-03",1,10000,"HOMICIDE",6,"Homicide"
"8773","2017-03",1,10000,"HOMICIDE",5,"Homicide"
"8774","2017-03",-1,10000,"HOMICIDE",5,"Homicide"
"9783","2017-03",1,10000,"HOMICIDE",4,"Homicide"
"9784","2017-03",-1,10000,"HOMICIDE",4,"Homicide"
"9944","2017-03",1,10000,"HOMICIDE",4,"Homicide"
"10561","2017-03",1,10000,"HOMICIDE",5,"Homicide"
"11963","2017-04",1,10000,"HOMICIDE",5,"Homicide"
"11976","2017-04",1,10000,"HOMICIDE",4,"Homicide"
"12008","2017-04",1,10000,"HOMICIDE",5,"Homicide"
"12212","2017-04",1,10000,"HOMICIDE",4,"Homicide"
"12490","2017-04",1,10000,"HOMICIDE",4,"Homicide"
"12615","2017-04",1,10000,"HOMICIDE",3,"Homicide"
"12775","2017-04",1,10000,"HOMICIDE",6,"Homicide"
"12945","2017-04",1,10000,"HOMICIDE",5,"Homicide"
"13596","2017-04",1,10000,"HOMICIDE",6,"Homicide"
"13650","2017-04",1,10000,"HOMICIDE",6,"Homicide"
"13975","2017-04",1,10000,"HOMICIDE",6,"Homicide"
"14207","2017-04",1,10000,"HOMICIDE",5,"Homicide"
"14228","2017-04",1,10000,"HOMICIDE",5,"Homicide"
"14229","2017-04",1,10000,"HOMICIDE",5,"Homicide"
"14635","2017-04",1,10000,"HOMICIDE",6,"Homicide"
"14695","2017-04",1,10000,"HOMICIDE",1,"Homicide"
"14697","2017-04",-1,10000,"HOMICIDE",1,"Homicide"
"14811","2017-04",1,10000,"HOMICIDE",4,"Homicide"
"15211","2017-04",1,10000,"HOMICIDE",3,"Homicide"
"15217","2017-04",1,10000,"HOMICIDE",5,"Homicide"
"15408","2017-04",1,10000,"HOMICIDE",3,"Homicide"
"15638","2017-05",1,10000,"HOMICIDE                                          ",5,"Homicide"
"16225","2017-05",1,10000,"HOMICIDE                                          ",4,"Homicide"
"16424","2017-05",1,10000,"HOMICIDE                                          ",6,"Homicide"
"16755","2017-05",1,10000,"HOMICIDE                                          ",6,"Homicide"
"16822","2017-05",1,10000,"HOMICIDE                                          ",1,"Homicide"
"16997","2017-05",1,10000,"HOMICIDE                                          ",5,"Homicide"
"17004","2017-05",1,10000,"HOMICIDE                                          ",1,"Homicide"
"17193","2017-05",1,10000,"HOMICIDE                                          ",4,"Homicide"
"17370","2017-05",1,10000,"HOMICIDE                                          ",4,"Homicide"
"17458","2017-05",1,10000,"HOMICIDE                                          ",5,"Homicide"
"17527","2017-05",1,10000,"HOMICIDE                                          ",4,"Homicide"
"19172","2017-05",1,10000,"HOMICIDE                                          ",6,"Homicide"
"19307","2017-05",1,10000,"HOMICIDE                                          ",3,"Homicide"
"19341","2017-05",1,10000,"HOMICIDE                                          ",1,"Homicide"
"19622","2017-05",1,10000,"HOMICIDE                                          ",6,"Homicide"
"19941","2017-05",-1,10000,"HOMICIDE                                          ",4,"Homicide"
"1","2017-01",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"145","2017-01",1,21000,"RAPE -- FORCIBLE",0,"Rape"
"270","2017-01",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"538","2017-01",1,23000,"RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST",6,"Rape"
"636","2017-01",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"660","2017-01",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"1042","2017-01",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"1555","2017-01",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"1964","2017-01",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"2082","2017-01",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"2343","2017-01",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"2375","2017-01",1,21000,"RAPE -- FORCIBLE",1,"Rape"
"3628","2017-01",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"3631","2017-01",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"3636","2017-01",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"3637","2017-01",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"3662","2017-01",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"3664","2017-01",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"3714","2017-01",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"3720","2017-01",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"3808","2017-01",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"3842","2017-01",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"3938","2017-02",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"3941","2017-02",1,21000,"RAPE -- FORCIBLE",1,"Rape"
"3957","2017-02",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"4617","2017-02",1,21000,"RAPE -- FORCIBLE",0,"Rape"
"4652","2017-02",1,21000,"RAPE -- FORCIBLE",0,"Rape"
"4653","2017-02",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"4703","2017-02",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"5121","2017-02",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"5694","2017-02",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"5776","2017-02",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"5851","2017-02",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"6142","2017-02",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"6261","2017-02",1,21000,"RAPE -- FORCIBLE",1,"Rape"
"6416","2017-02",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"6835","2017-02",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"7383","2017-02",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"7395","2017-02",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"7410","2017-02",-1,21000,"RAPE -- FORCIBLE",1,"Rape"
"7412","2017-02",1,23000,"RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST",4,"Rape"
"7473","2017-02",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"7485","2017-03",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"7486","2017-03",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"7487","2017-03",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"7515","2017-03",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"7543","2017-03",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"7638","2017-03",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"7673","2017-03",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"7703","2017-03",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"7712","2017-03",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"7859","2017-03",1,23000,"RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST",6,"Rape"
"7860","2017-03",1,23000,"RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST",6,"Rape"
"8232","2017-03",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"8606","2017-03",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"9058","2017-03",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"9112","2017-03",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"9916","2017-03",1,21000,"RAPE -- FORCIBLE",1,"Rape"
"11062","2017-03",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"11406","2017-03",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"11409","2017-03",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"11460","2017-03",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"11468","2017-04",1,21000,"RAPE -- FORCIBLE",2,"Rape"
"11469","2017-04",1,21000,"RAPE -- FORCIBLE",1,"Rape"
"11473","2017-04",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"11538","2017-04",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"11633","2017-04",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"11689","2017-04",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"11872","2017-04",1,21000,"RAPE -- FORCIBLE",5,"Rape"
"12885","2017-04",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"13533","2017-04",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"13820","2017-04",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"13899","2017-04",1,21000,"RAPE -- FORCIBLE",3,"Rape"
"14056","2017-04",1,21000,"RAPE -- FORCIBLE",1,"Rape"
"14068","2017-04",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"14087","2017-04",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"14540","2017-04",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"14825","2017-04",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"14933","2017-04",1,21000,"RAPE -- FORCIBLE",4,"Rape"
"15407","2017-04",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"15411","2017-04",1,21000,"RAPE -- FORCIBLE",6,"Rape"
"15451","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",6,"Rape"
"15470","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",3,"Rape"
"15814","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",2,"Rape"
"16273","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",1,"Rape"
"16582","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",3,"Rape"
"16591","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",4,"Rape"
"16779","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",3,"Rape"
"17256","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",6,"Rape"
"17279","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",1,"Rape"
"17326","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",6,"Rape"
"17429","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",6,"Rape"
"17960","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",1,"Rape"
"18012","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",4,"Rape"
"18091","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",4,"Rape"
"18160","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",5,"Rape"
"18225","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",2,"Rape"
"18973","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",3,"Rape"
"19093","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",3,"Rape"
"19211","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",2,"Rape"
"19269","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",3,"Rape"
"19384","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",2,"Rape"
"19416","2017-05",1,21000,"RAPE -- FORCIBLE                                  ",6,"Rape"
"85","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",5,"Robbery"
"104","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"121","2017-01",1,31112,"ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT",1,"Robbery"
"125","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"134","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",6,"Robbery"
"144","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",5,"Robbery"
"235","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",2,"Robbery"
"241","2017-01",1,31422,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT",5,"Robbery"
"243","2017-01",1,36111,"ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS",4,"Robbery"
"299","2017-01",1,36111,"ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS",5,"Robbery"
"470","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"500","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",6,"Robbery"
"527","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"529","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"548","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"577","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",2,"Robbery"
"684","2017-01",1,32111,"ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL",4,"Robbery"
"698","2017-01",1,36421,"ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS",1,"Robbery"
"708","2017-01",1,31311,"ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL",1,"Robbery"
"727","2017-01",1,32421,"ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS",6,"Robbery"
"736","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"764","2017-01",1,31311,"ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL",3,"Robbery"
"766","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"771","2017-01",1,31422,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT",1,"Robbery"
"805","2017-01",1,31112,"ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT",1,"Robbery"
"808","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"843","2017-01",1,32112,"ROBBERY-RESIDENCE   /FIREARM USED/ATTEMPT",2,"Robbery"
"897","2017-01",1,32111,"ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL",6,"Robbery"
"906","2017-01",1,31112,"ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT",3,"Robbery"
"963","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",1,"Robbery"
"969","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",2,"Robbery"
"995","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"1001","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",2,"Robbery"
"1029","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",4,"Robbery"
"1030","2017-01",-1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",4,"Robbery"
"1035","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",3,"Robbery"
"1058","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"1072","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"1075","2017-01",1,31211,"ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL",2,"Robbery"
"1082","2017-01",1,31311,"ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL",4,"Robbery"
"1092","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"1102","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"1109","2017-01",1,31211,"ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL",4,"Robbery"
"1114","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"1117","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"1137","2017-01",1,32111,"ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL",5,"Robbery"
"1140","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"1173","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"1185","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"1228","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"1230","2017-01",1,31112,"ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT",5,"Robbery"
"1251","2017-01",1,32111,"ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL",6,"Robbery"
"1266","2017-01",1,36111,"ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS",1,"Robbery"
"1283","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"1333","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"1379","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"1381","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",2,"Robbery"
"1390","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",4,"Robbery"
"1391","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"1418","2017-01",1,32111,"ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL",4,"Robbery"
"1423","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",2,"Robbery"
"1442","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"1511","2017-01",1,34311,"ROBBERY-CONVEN STOR/OTHR WEP USED/SUCCESS",5,"Robbery"
"1552","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",4,"Robbery"
"1572","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",6,"Robbery"
"1615","2017-01",1,32312,"ROBBERY-RESIDENCE /OTHR WEPN USED/ATTEMPT",3,"Robbery"
"1626","2017-01",1,32111,"ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL",1,"Robbery"
"1627","2017-01",1,31112,"ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT",2,"Robbery"
"1649","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"1675","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",6,"Robbery"
"1705","2017-01",1,31211,"ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL",6,"Robbery"
"1726","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",6,"Robbery"
"1775","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"1829","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"1866","2017-01",1,36111,"ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS",5,"Robbery"
"1911","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"1916","2017-01",1,31211,"ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL",5,"Robbery"
"1931","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",3,"Robbery"
"1933","2017-01",-1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",3,"Robbery"
"1939","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",2,"Robbery"
"1944","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"1950","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"2009","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",5,"Robbery"
"2031","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"2057","2017-01",1,34111,"ROBBERY-CONVEN STOR/FIREARM USED/SUCCESS",2,"Robbery"
"2061","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",5,"Robbery"
"2092","2017-01",1,31112,"ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT",5,"Robbery"
"2133","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",3,"Robbery"
"2138","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",6,"Robbery"
"2211","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"2216","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",5,"Robbery"
"2312","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",5,"Robbery"
"2331","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"2334","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"2369","2017-01",1,32111,"ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL",1,"Robbery"
"2395","2017-01",1,33421,"ROBBERY-BANK/STRNGARM/NO INJ/SUCCESS",5,"Robbery"
"2416","2017-01",1,34421,"ROBBERY-CONVEN STOR/STRNGARM/NO INJ/SUCCESS",3,"Robbery"
"2448","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",1,"Robbery"
"2463","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"2464","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"2471","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",3,"Robbery"
"2524","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",2,"Robbery"
"2545","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",6,"Robbery"
"2551","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",1,"Robbery"
"2566","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",2,"Robbery"
"2567","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"2576","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"2583","2017-01",1,36111,"ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS",5,"Robbery"
"2600","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",6,"Robbery"
"2639","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"2645","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",4,"Robbery"
"2699","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"2743","2017-01",1,32111,"ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL",4,"Robbery"
"2775","2017-01",1,37421,"ROBBERY-MISC/STRNGARM/NO INJ/SUCCESSFUL",4,"Robbery"
"2785","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"2793","2017-01",1,31112,"ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT",3,"Robbery"
"2899","2017-01",1,32111,"ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL",1,"Robbery"
"2959","2017-01",1,31311,"ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL",4,"Robbery"
"2989","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",5,"Robbery"
"3012","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",6,"Robbery"
"3028","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",6,"Robbery"
"3071","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",3,"Robbery"
"3076","2017-01",1,31112,"ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT",3,"Robbery"
"3086","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",6,"Robbery"
"3098","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",4,"Robbery"
"3102","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",1,"Robbery"
"3153","2017-01",1,31111,"ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL",1,"Robbery"
"3155","2017-01",1,31421,"ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS",1,"Robbery"
